group,intelligent,arrogant,nerdy,kind,loud,careful,argumentative,persuasive,immature,active,funny,disorganized,dishonest,gentle,sensitive,creative,helpful,strong,brave,bossy,unconventional,quiet,organized,reliable,ambitious,charming,confident,efficient,friendly,generous,naive,witty,empathetic,stubborn,trustworthy,meticulous,inventive,charismatic,reserved,altruistic,original,impulsive,zealous,rational,idealistic,conservative,solitary,passionate,adventurous,cautious,extravagant,jovial,cooperative,attractive,muscular,shy,social,warm,moody,lazy,hardworking,imaginative,narrow-minded,boring,selfish,narcissistic
farmer,34.76190476190476,10.952380952380953,6.190476190476191,79.52380952380952,37.61904761904762,80,20,20,13.333333333333334,88.0952380952381,20,40.95238095238095,9.761904761904765,40.95238095238095,20,20,80,80.95238095238095,75.23809523809524,20,20,70,80,80.71428571428571,40,29.52380952380953,61.42857142857143,69.52380952380952,80,77.61904761904762,67.61904761904762,20,43.80952380952381,80,80.23809523809524,41.904761904761905,30.952380952380953,20,72.85714285714286,72.85714285714286,20,20,48.57142857142857,40,22.38095238095238,80,75.71428571428571,73.33333333333333,20,79.04761904761905,10,71.9047619047619,80,20,80,20,20,78.0952380952381,20,13.333333333333334,89.14285714285714,20,62.23809523809524,66.42857142857143,20,5
computer programmer,90,67.28571428571429,83.66666666666667,27.142857142857142,19.52380952380953,80,40,23.333333333333332,43.333333333333336,40,20,68.57142857142857,13.333333333333334,20,20,70.95238095238095,70,47.142857142857146,20,20,78.57142857142857,80,80.71428571428571,80.47619047619048,80,20,80,82.9047619047619,26.19047619047619,20,20.47619047619047,68.0952380952381,20,70,76.19047619047619,82.38095238095238,82.57142857142857,20,80,20.952380952380953,53.333333333333336,37.61904761904762,74.76190476190476,87.9047619047619,40,27.61904761904762,80,47.61904761904762,32.38095238095238,71.9047619047619,14.761904761904765,20,40,20,20,80,20,20,70.95238095238095,20,85.66666666666667,70,40,71,40,38.57142857142857
flight attendant,51.42857142857143,38.095238095238095,5.238095238095238,83.0952380952381,20,86.9047619047619,20,61.42857142857143,20,80.71428571428571,40,1.4285714285714286,4.761904761904762,80,79.52380952380952,33.80952380952381,90,36.19047619047619,47.142857142857146,69.23809523809524,20,25.714285714285715,89.52380952380952,84.52380952380952,49.523809523809526,80,80,80,88.0952380952381,80,36.666666666666664,70.95238095238095,80.23809523809524,20.47619047619047,82.61904761904762,80.23809523809524,38.57142857142857,80,33.333333333333336,80,20,20,60,57.61904761904762,51.42857142857143,20,9.523809523809524,72.85714285714286,80,80,40,80.47619047619048,89.04761904761905,80,20,20,89.61904761904762,80.95238095238095,20,0.4761904761904761,81.19047619047619,38.57142857142857,15.238095238095235,25.238095238095237,16.666666666666668,20
high school coach,58.095238095238095,45.714285714285715,10.714285714285714,80,80,75.23809523809524,69.04761904761905,79.52380952380952,20,90,40,38.095238095238095,19.52380952380953,33.333333333333336,20,30,82.85714285714286,84.23809523809524,80,78.0952380952381,20,20,80,81.19047619047619,80,64.28571428571429,83.57142857142857,69.04761904761905,80,72.38095238095238,29.047619047619047,30.47619047619047,73.33333333333333,80,80.47619047619048,64.76190476190476,39.523809523809526,80,40,80,20,40,80.47619047619048,51.42857142857143,69.52380952380952,80,20,84.52380952380952,33.80952380952381,54.285714285714285,13.333333333333334,80,80.80952380952381,40,80,20,80.71428571428571,80,37.61904761904762,19.047619047619047,89.23809523809524,20,48.80952380952381,67,20,27.142857142857142
dentist,90,63.38095238095238,69.04761904761905,69.52380952380952,11.904761904761903,90,20,38.095238095238095,7.619047619047619,56.19047619047619,20,10.714285714285714,9.523809523809524,64.76190476190476,38.57142857142857,20.47619047619047,82.95238095238095,40,26.19047619047619,20,20,69.52380952380952,90,90,80,40.95238095238095,80,80,63.80952380952381,40,20,20,47.61904761904762,31.904761904761905,84.52380952380952,89.85714285714286,40,38.095238095238095,70,41.904761904761905,20.952380952380953,20,40,80.47619047619048,22.857142857142858,70,40,35.23809523809524,20,80,38.095238095238095,40,79.52380952380952,40.95238095238095,20,20,39.04761904761905,40,20,1.9047619047619049,90,20,19.52380952380953,67.9047619047619,40.95238095238095,40
lawyer,89.04761904761905,71.47619047619048,20,20,40,80,80,85.28571428571429,20,80,20,20,62.80952380952381,20,20,27.61904761904762,22.38095238095238,80,40,71.42857142857143,20,20,85.47619047619048,40,85.47619047619048,40,84.04761904761905,80,20,20,0,71.9047619047619,20,80,21.428571428571427,81.42857142857143,41.904761904761905,80,66.19047619047619,20,20,24.761904761904763,79.52380952380952,82.47619047619048,25.238095238095237,60.476190476190474,20,79.52380952380952,20,79.04761904761905,77.61904761904762,20,20,41.904761904761905,20,19.52380952380953,40,20,40,10.476190476190476,84.52380952380952,25.714285714285715,50.476190476190474,59.04761904761905,70.33333333333333,69.42857142857143
engineer,90,64.95238095238095,80,40,20,84.85714285714286,40,40,20,80,20,20,9.285714285714286,23.333333333333332,20,54.76190476190476,80,80,40.95238095238095,20,39.523809523809526,78.57142857142857,89.76190476190476,89.14285714285714,82.47619047619048,20,80,87.80952380952381,40,33.80952380952381,20,39.523809523809526,20.47619047619047,70.47619047619048,81.9047619047619,88.38095238095238,88.19047619047619,20,80,40,45.714285714285715,20,70,90,40,70,76.66666666666667,40.95238095238095,40,80,20,20,80,20,20,70.47619047619048,20,20,40,11.904761904761903,90,59.04761904761905,40,69.71428571428571,39.04761904761905,20
real estate agent,40.95238095238095,68.71428571428571,10,28.095238095238095,64.76190476190476,50.476190476190474,70,80.71428571428571,40,80,20,36.19047619047619,66.14285714285714,20,20,37.61904761904762,62.857142857142854,46.666666666666664,20,68.80952380952381,20,20,80.23809523809524,37.142857142857146,81.28571428571429,77.14285714285714,80.23809523809524,69.04761904761905,69.04761904761905,20,20,40,22.857142857142858,70,21.904761904761905,58.095238095238095,40,80,20,20,20,70.95238095238095,80,40,20,69.38095238095238,14.761904761904765,80,25.714285714285715,33.80952380952381,71.42857142857143,71.42857142857143,48.095238095238095,62.857142857142854,20,10.714285714285714,80.47619047619048,44.76190476190476,20,36.19047619047619,80.23809523809524,24.285714285714285,39.523809523809526,66.0952380952381,69.42857142857143,69.61904761904762
accountant,83.0952380952381,20.952380952380953,80,40,9.761904761904765,89.04761904761905,20,20,12.38095238095238,20,20,0.4761904761904761,20,40,20,20,76.19047619047619,20,20,20,20,80,90.47619047619048,90,73.33333333333333,20,41.904761904761905,90,40,20,20,20,20,59.523809523809526,87.14285714285714,89.85714285714286,20,20,80,20,20,19.52380952380953,21.428571428571427,89.76190476190476,20,80,70.95238095238095,20,20,80.23809523809524,13.333333333333334,20,79.04761904761905,20,18.571428571428573,69.52380952380952,20,20,20,20,89.04761904761905,20,63.80952380952381,80,40,11.428571428571429
surgeon,96.47619047619048,72.52380952380952,31.904761904761905,77.61904761904762,14.285714285714286,95.0952380952381,40.95238095238095,47.61904761904762,3.5714285714285716,90,20,0.7142857142857143,4.285714285714286,52.857142857142854,20,32.38095238095238,90.23809523809524,89.38095238095238,88.0952380952381,75.23809523809524,20,66.66666666666667,93.33333333333331,95,92.38095238095238,49.04761904761905,90.23809523809524,90.23809523809524,40,53.333333333333336,1.4285714285714286,40,38.57142857142857,80,94.0952380952381,95,80,80,75.71428571428571,80,40,19.52380952380953,82.38095238095238,91.66666666666669,39.523809523809526,73.80952380952381,40,81.42857142857143,37.61904761904762,90,39.523809523809526,22.857142857142858,79.52380952380952,50.476190476190474,40,20,20,20,20,0,95,35.23809523809524,16.19047619047619,20,39.04761904761905,69.71428571428571
